team,date,competition,opponent,venue,result,gf,ga,is_friendly
Iraq,2018-01-02,Gulf Cup,United Arab Emirates,neutral,D,0,0,False
United Arab Emirates,2018-01-02,Gulf Cup,Iraq,neutral,D,0,0,False
Jordan,2018-03-27,AFC Asian Cup qualification,Vietnam,home,D,1,1,False
Vietnam,2018-03-27,AFC Asian Cup qualification,Jordan,away,D,1,1,False
Kenya,2018-06-02,Intercontinental Cup,New Zealand,neutral,W,2,1,False
New Zealand,2018-06-02,Intercontinental Cup,Kenya,neutral,L,1,2,False
Madagascar,2018-06-03,COSAFA Cup,South Africa,away,D,0,0,False
South Africa,2018-06-03,COSAFA Cup,Madagascar,home,D,0,0,False
Namibia,2018-06-05,COSAFA Cup,South Africa,away,L,1,4,False
New Zealand,2018-06-05,Intercontinental Cup,Taiwan,neutral,W,1,0,False
South Africa,2018-06-05,COSAFA Cup,Namibia,home,W,4,1,False
Taiwan,2018-06-05,Intercontinental Cup,New Zealand,neutral,L,0,1,False
India,2018-06-07,Intercontinental Cup,New Zealand,home,L,1,2,False
New Zealand,2018-06-07,Intercontinental Cup,India,away,W,2,1,False
Botswana,2018-06-08,COSAFA Cup,South Africa,away,L,0,3,False
South Africa,2018-06-08,COSAFA Cup,Botswana,home,W,3,0,False
Russia,2018-06-14,FIFA World Cup,Saudi Arabia,home,W,5,0,False
Saudi Arabia,2018-06-14,FIFA World Cup,Russia,away,L,0,5,False
Egypt,2018-06-15,FIFA World Cup,Uruguay,neutral,L,0,1,False
Iran,2018-06-15,FIFA World Cup,Morocco,neutral,W,1,0,False
Morocco,2018-06-15,FIFA World Cup,Iran,neutral,L,0,1,False
Portugal,2018-06-15,FIFA World Cup,Spain,neutral,D,3,3,False
Spain,2018-06-15,FIFA World Cup,Portugal,neutral,D,3,3,False
Uruguay,2018-06-15,FIFA World Cup,Egypt,neutral,W,1,0,False
Argentina,2018-06-16,FIFA World Cup,Iceland,neutral,D,1,1,False
Australia,2018-06-16,FIFA World Cup,France,neutral,L,1,2,False
Croatia,2018-06-16,FIFA World Cup,Nigeria,neutral,W,2,0,False
France,2018-06-16,FIFA World Cup,Australia,neutral,W,2,1,False
Iceland,2018-06-16,FIFA World Cup,Argentina,neutral,D,1,1,False
Nigeria,2018-06-16,FIFA World Cup,Croatia,neutral,L,0,2,False
Brazil,2018-06-17,FIFA World Cup,Switzerland,neutral,D,1,1,False
Germany,2018-06-17,FIFA World Cup,Mexico,neutral,L,0,1,False
Mexico,2018-06-17,FIFA World Cup,Germany,neutral,W,1,0,False
Switzerland,2018-06-17,FIFA World Cup,Brazil,neutral,D,1,1,False
Belgium,2018-06-18,FIFA World Cup,Panama,neutral,W,3,0,False
England,2018-06-18,FIFA World Cup,Tunisia,neutral,W,2,1,False
Panama,2018-06-18,FIFA World Cup,Belgium,neutral,L,0,3,False
South Korea,2018-06-18,FIFA World Cup,Sweden,neutral,L,0,1,False
Sweden,2018-06-18,FIFA World Cup,South Korea,neutral,W,1,0,False
Tunisia,2018-06-18,FIFA World Cup,England,neutral,L,1,2,False
Colombia,2018-06-19,FIFA World Cup,Japan,neutral,L,1,2,False
Egypt,2018-06-19,FIFA World Cup,Russia,away,L,1,3,False
Japan,2018-06-19,FIFA World Cup,Colombia,neutral,W,2,1,False
Poland,2018-06-19,FIFA World Cup,Senegal,neutral,L,1,2,False
Russia,2018-06-19,FIFA World Cup,Egypt,home,W,3,1,False
Senegal,2018-06-19,FIFA World Cup,Poland,neutral,W,2,1,False
Iran,2018-06-20,FIFA World Cup,Spain,neutral,L,0,1,False
Morocco,2018-06-20,FIFA World Cup,Portugal,neutral,L,0,1,False
Portugal,2018-06-20,FIFA World Cup,Morocco,neutral,W,1,0,False
Saudi Arabia,2018-06-20,FIFA World Cup,Uruguay,neutral,L,0,1,False
Spain,2018-06-20,FIFA World Cup,Iran,neutral,W,1,0,False
Uruguay,2018-06-20,FIFA World Cup,Saudi Arabia,neutral,W,1,0,False
Argentina,2018-06-21,FIFA World Cup,Croatia,neutral,L,0,3,False
Australia,2018-06-21,FIFA World Cup,Denmark,neutral,D,1,1,False
Croatia,2018-06-21,FIFA World Cup,Argentina,neutral,W,3,0,False
Denmark,2018-06-21,FIFA World Cup,Australia,neutral,D,1,1,False
France,2018-06-21,FIFA World Cup,Peru,neutral,W,1,0,False
Peru,2018-06-21,FIFA World Cup,France,neutral,L,0,1,False
Brazil,2018-06-22,FIFA World Cup,Costa Rica,neutral,W,2,0,False
Costa Rica,2018-06-22,FIFA World Cup,Brazil,neutral,L,0,2,False
Serbia,2018-06-22,FIFA World Cup,Switzerland,neutral,L,1,2,False
Switzerland,2018-06-22,FIFA World Cup,Serbia,neutral,W,2,1,False
Belgium,2018-06-23,FIFA World Cup,Tunisia,neutral,W,5,2,False
Germany,2018-06-23,FIFA World Cup,Sweden,neutral,W,2,1,False
Mexico,2018-06-23,FIFA World Cup,South Korea,neutral,W,2,1,False
South Korea,2018-06-23,FIFA World Cup,Mexico,neutral,L,1,2,False
Sweden,2018-06-23,FIFA World Cup,Germany,neutral,L,1,2,False
Tunisia,2018-06-23,FIFA World Cup,Belgium,neutral,L,2,5,False
Colombia,2018-06-24,FIFA World Cup,Poland,neutral,W,3,0,False
England,2018-06-24,FIFA World Cup,Panama,neutral,W,6,1,False
Japan,2018-06-24,FIFA World Cup,Senegal,neutral,D,2,2,False
Panama,2018-06-24,FIFA World Cup,England,neutral,L,1,6,False
Poland,2018-06-24,FIFA World Cup,Colombia,neutral,L,0,3,False
Senegal,2018-06-24,FIFA World Cup,Japan,neutral,D,2,2,False
Egypt,2018-06-25,FIFA World Cup,Saudi Arabia,neutral,L,1,2,False
Iran,2018-06-25,FIFA World Cup,Portugal,neutral,D,1,1,False
Morocco,2018-06-25,FIFA World Cup,Spain,neutral,D,2,2,False
Portugal,2018-06-25,FIFA World Cup,Iran,neutral,D,1,1,False
Russia,2018-06-25,FIFA World Cup,Uruguay,home,L,0,3,False
Saudi Arabia,2018-06-25,FIFA World Cup,Egypt,neutral,W,2,1,False
Spain,2018-06-25,FIFA World Cup,Morocco,neutral,D,2,2,False
Uruguay,2018-06-25,FIFA World Cup,Russia,away,W,3,0,False
Argentina,2018-06-26,FIFA World Cup,Nigeria,neutral,W,2,1,False
Australia,2018-06-26,FIFA World Cup,Peru,neutral,L,0,2,False
Croatia,2018-06-26,FIFA World Cup,Iceland,neutral,W,2,1,False
Denmark,2018-06-26,FIFA World Cup,France,neutral,D,0,0,False
France,2018-06-26,FIFA World Cup,Denmark,neutral,D,0,0,False
Iceland,2018-06-26,FIFA World Cup,Croatia,neutral,L,1,2,False
Nigeria,2018-06-26,FIFA World Cup,Argentina,neutral,L,1,2,False
Peru,2018-06-26,FIFA World Cup,Australia,neutral,W,2,0,False
Brazil,2018-06-27,FIFA World Cup,Serbia,neutral,W,2,0,False
Costa Rica,2018-06-27,FIFA World Cup,Switzerland,neutral,D,2,2,False
Germany,2018-06-27,FIFA World Cup,South Korea,neutral,L,0,2,False
Mexico,2018-06-27,FIFA World Cup,Sweden,neutral,L,0,3,False
Serbia,2018-06-27,FIFA World Cup,Brazil,neutral,L,0,2,False
South Korea,2018-06-27,FIFA World Cup,Germany,neutral,W,2,0,False
Sweden,2018-06-27,FIFA World Cup,Mexico,neutral,W,3,0,False
Switzerland,2018-06-27,FIFA World Cup,Costa Rica,neutral,D,2,2,False
Belgium,2018-06-28,FIFA World Cup,England,neutral,W,1,0,False
Colombia,2018-06-28,FIFA World Cup,Senegal,neutral,W,1,0,False
England,2018-06-28,FIFA World Cup,Belgium,neutral,L,0,1,False
Japan,2018-06-28,FIFA World Cup,Poland,neutral,L,0,1,False
Panama,2018-06-28,FIFA World Cup,Tunisia,neutral,L,1,2,False
Poland,2018-06-28,FIFA World Cup,Japan,neutral,W,1,0,False
Senegal,2018-06-28,FIFA World Cup,Colombia,neutral,L,0,1,False
Tunisia,2018-06-28,FIFA World Cup,Panama,neutral,W,2,1,False
Argentina,2018-06-30,FIFA World Cup,France,neutral,L,3,4,False
France,2018-06-30,FIFA World Cup,Argentina,neutral,W,4,3,False
Portugal,2018-06-30,FIFA World Cup,Uruguay,neutral,L,1,2,False
Uruguay,2018-06-30,FIFA World Cup,Portugal,neutral,W,2,1,False
Croatia,2018-07-01,FIFA World Cup,Denmark,neutral,D,1,1,False
Denmark,2018-07-01,FIFA World Cup,Croatia,neutral,D,1,1,False
Russia,2018-07-01,FIFA World Cup,Spain,home,D,1,1,False
Spain,2018-07-01,FIFA World Cup,Russia,away,D,1,1,False
Belgium,2018-07-02,FIFA World Cup,Japan,neutral,W,3,2,False
Brazil,2018-07-02,FIFA World Cup,Mexico,neutral,W,2,0,False
Japan,2018-07-02,FIFA World Cup,Belgium,neutral,L,2,3,False
Mexico,2018-07-02,FIFA World Cup,Brazil,neutral,L,0,2,False
Colombia,2018-07-03,FIFA World Cup,England,neutral,D,1,1,False
England,2018-07-03,FIFA World Cup,Colombia,neutral,D,1,1,False
Sweden,2018-07-03,FIFA World Cup,Switzerland,neutral,W,1,0,False
Switzerland,2018-07-03,FIFA World Cup,Sweden,neutral,L,0,1,False
Belgium,2018-07-06,FIFA World Cup,Brazil,neutral,W,2,1,False
Brazil,2018-07-06,FIFA World Cup,Belgium,neutral,L,1,2,False
France,2018-07-06,FIFA World Cup,Uruguay,neutral,W,2,0,False
Uruguay,2018-07-06,FIFA World Cup,France,neutral,L,0,2,False
Croatia,2018-07-07,FIFA World Cup,Russia,away,D,2,2,False
England,2018-07-07,FIFA World Cup,Sweden,neutral,W,2,0,False
Russia,2018-07-07,FIFA World Cup,Croatia,home,D,2,2,False
Sweden,2018-07-07,FIFA World Cup,England,neutral,L,0,2,False
Belgium,2018-07-10,FIFA World Cup,France,neutral,L,0,1,False
France,2018-07-10,FIFA World Cup,Belgium,neutral,W,1,0,False
Croatia,2018-07-11,FIFA World Cup,England,neutral,W,2,1,False
England,2018-07-11,FIFA World Cup,Croatia,neutral,L,1,2,False
Belgium,2018-07-14,FIFA World Cup,England,neutral,W,2,0,False
England,2018-07-14,FIFA World Cup,Belgium,neutral,L,0,2,False
Croatia,2018-07-15,FIFA World Cup,France,neutral,L,2,4,False
France,2018-07-15,FIFA World Cup,Croatia,neutral,W,4,2,False
Cyprus,2018-09-06,UEFA Nations League,Norway,away,L,0,2,False
Czechia,2018-09-06,UEFA Nations League,Ukraine,home,L,1,2,False
France,2018-09-06,UEFA Nations League,Germany,away,D,0,0,False
Germany,2018-09-06,UEFA Nations League,France,home,D,0,0,False
Norway,2018-09-06,UEFA Nations League,Cyprus,home,W,2,0,False
Ukraine,2018-09-06,UEFA Nations League,Czechia,away,W,2,1,False
Russia,2018-09-07,UEFA Nations League,Turkey,away,W,2,1,False
Turkey,2018-09-07,UEFA Nations League,Russia,home,L,1,2,False
Algeria,2018-09-08,African Cup of Nations qualification,Gambia,away,D,1,1,False
Bosnia and Herzegovina,2018-09-08,UEFA Nations League,Northern Ireland,away,W,2,1,False
Egypt,2018-09-08,African Cup of Nations qualification,Niger,home,W,6,0,False
England,2018-09-08,UEFA Nations League,Spain,home,L,1,2,False
Gambia,2018-09-08,African Cup of Nations qualification,Algeria,home,D,1,1,False
Ghana,2018-09-08,African Cup of Nations qualification,Kenya,away,L,0,1,False
Iceland,2018-09-08,UEFA Nations League,Switzerland,away,L,0,6,False
Kenya,2018-09-08,African Cup of Nations qualification,Ghana,home,W,1,0,False
Libya,2018-09-08,African Cup of Nations qualification,South Africa,away,D,0,0,False
Malawi,2018-09-08,African Cup of Nations qualification,Morocco,away,L,0,3,False
Morocco,2018-09-08,African Cup of Nations qualification,Malawi,home,W,3,0,False
Niger,2018-09-08,African Cup of Nations qualification,Egypt,away,L,0,6,False
Northern Ireland,2018-09-08,UEFA Nations League,Bosnia and Herzegovina,home,L,1,2,False
South Africa,2018-09-08,African Cup of Nations qualification,Libya,home,D,0,0,False
Spain,2018-09-08,UEFA Nations League,England,away,W,2,1,False
Switzerland,2018-09-08,UEFA Nations League,Iceland,home,W,6,0,False
Bulgaria,2018-09-09,UEFA Nations League,Norway,home,W,1,0,False
Canada,2018-09-09,CONCACAF Nations League qualification,United States Virgin Islands,neutral,W,8,0,False
Cape Verde,2018-09-09,African Cup of Nations qualification,Lesotho,away,D,1,1,False
DR Congo,2018-09-09,African Cup of Nations qualification,Liberia,away,D,1,1,False
Eswatini,2018-09-09,African Cup of Nations qualification,Tunisia,home,L,0,2,False
France,2018-09-09,UEFA Nations League,Netherlands,home,W,2,1,False
Ivory Coast,2018-09-09,African Cup of Nations qualification,Rwanda,away,W,2,1,False
Lesotho,2018-09-09,African Cup of Nations qualification,Cape Verde,home,D,1,1,False
Liberia,2018-09-09,African Cup of Nations qualification,DR Congo,home,D,1,1,False
Madagascar,2018-09-09,African Cup of Nations qualification,Senegal,home,D,2,2,False
Netherlands,2018-09-09,UEFA Nations League,France,away,L,1,2,False
Norway,2018-09-09,UEFA Nations League,Bulgaria,away,L,0,1,False
Rwanda,2018-09-09,African Cup of Nations qualification,Ivory Coast,home,L,1,2,False
Senegal,2018-09-09,African Cup of Nations qualification,Madagascar,away,D,2,2,False
Tunisia,2018-09-09,African Cup of Nations qualification,Eswatini,away,W,2,0,False
United States Virgin Islands,2018-09-09,CONCACAF Nations League qualification,Canada,neutral,L,0,8,False
Albania,2018-09-10,UEFA Nations League,Scotland,away,L,0,2,False
Curacao,2018-09-10,CONCACAF Nations League qualification,Grenada,home,W,10,0,False
Grenada,2018-09-10,CONCACAF Nations League qualification,Curacao,away,L,0,10,False
Haiti,2018-09-10,CONCACAF Nations League qualification,Sint Maarten,home,W,13,0,False
Italy,2018-09-10,UEFA Nations League,Portugal,away,L,0,1,False
Portugal,2018-09-10,UEFA Nations League,Italy,home,W,1,0,False
Scotland,2018-09-10,UEFA Nations League,Albania,home,W,2,0,False
Sint Maarten,2018-09-10,CONCACAF Nations League qualification,Haiti,away,L,0,13,False
Sweden,2018-09-10,UEFA Nations League,Turkey,home,L,2,3,False
Turkey,2018-09-10,UEFA Nations League,Sweden,away,W,3,2,False
Austria,2018-09-11,UEFA Nations League,Bosnia and Herzegovina,away,L,0,1,False
Belgium,2018-09-11,UEFA Nations League,Iceland,away,W,3,0,False
Bosnia and Herzegovina,2018-09-11,UEFA Nations League,Austria,home,W,1,0,False
Costa Rica,2018-09-11,Kirin Challenge Cup,Japan,away,L,0,3,False
Croatia,2018-09-11,UEFA Nations League,Spain,away,L,0,6,False
Iceland,2018-09-11,UEFA Nations League,Belgium,home,L,0,3,False
Japan,2018-09-11,Kirin Challenge Cup,Costa Rica,home,W,3,0,False
Spain,2018-09-11,UEFA Nations League,Croatia,home,W,6,0,False
Israel,2018-10-11,UEFA Nations League,Scotland,home,W,2,1,False
Poland,2018-10-11,UEFA Nations League,Portugal,home,L,2,3,False
Portugal,2018-10-11,UEFA Nations League,Poland,away,W,3,2,False
Russia,2018-10-11,UEFA Nations League,Sweden,home,D,0,0,False
Scotland,2018-10-11,UEFA Nations League,Israel,away,L,1,2,False
Sweden,2018-10-11,UEFA Nations League,Russia,away,D,0,0,False
Algeria,2018-10-12,African Cup of Nations qualification,Benin,home,W,2,0,False
Austria,2018-10-12,UEFA Nations League,Northern Ireland,home,W,1,0,False
Belgium,2018-10-12,UEFA Nations League,Switzerland,home,W,2,1,False
Benin,2018-10-12,African Cup of Nations qualification,Algeria,away,L,0,2,False
Cape Verde,2018-10-12,African Cup of Nations qualification,Tanzania,home,W,3,0,False
Central African Republic,2018-10-12,African Cup of Nations qualification,Ivory Coast,away,L,0,4,False
Croatia,2018-10-12,UEFA Nations League,England,home,D,0,0,False
Curacao,2018-10-12,CONCACAF Nations League qualification,United States Virgin Islands,neutral,W,5,0,False
Egypt,2018-10-12,African Cup of Nations qualification,Eswatini,home,W,4,1,False
England,2018-10-12,UEFA Nations League,Croatia,away,D,0,0,False
Eswatini,2018-10-12,African Cup of Nations qualification,Egypt,away,L,1,4,False
Ivory Coast,2018-10-12,African Cup of Nations qualification,Central African Republic,home,W,4,0,False
Japan,2018-10-12,Kirin Challenge Cup,Panama,home,W,3,0,False
Northern Ireland,2018-10-12,UEFA Nations League,Austria,away,L,0,1,False
Panama,2018-10-12,Kirin Challenge Cup,Japan,away,L,0,3,False
Switzerland,2018-10-12,UEFA Nations League,Belgium,away,L,1,2,False
Tanzania,2018-10-12,African Cup of Nations qualification,Cape Verde,away,L,0,3,False
United States Virgin Islands,2018-10-12,CONCACAF Nations League qualification,Curacao,neutral,L,0,5,False
Comoros,2018-10-13,African Cup of Nations qualification,Morocco,away,L,0,1,False
Czechia,2018-10-13,UEFA Nations League,Slovakia,away,W,2,1,False
DR Congo,2018-10-13,African Cup of Nations qualification,Zimbabwe,home,L,1,2,False
Germany,2018-10-13,UEFA Nations League,Netherlands,away,L,0,3,False
Morocco,2018-10-13,African Cup of Nations qualification,Comoros,home,W,1,0,False
Netherlands,2018-10-13,UEFA Nations League,Germany,home,W,3,0,False
Niger,2018-10-13,African Cup of Nations qualification,Tunisia,away,L,0,1,False
Norway,2018-10-13,UEFA Nations League,Slovenia,home,W,1,0,False
Senegal,2018-10-13,African Cup of Nations qualification,Sudan,home,W,3,0,False
Seychelles,2018-10-13,African Cup of Nations qualification,South Africa,away,L,0,6,False
Slovakia,2018-10-13,UEFA Nations League,Czechia,home,L,1,2,False
Slovenia,2018-10-13,UEFA Nations League,Norway,away,L,0,1,False
South Africa,2018-10-13,African Cup of Nations qualification,Seychelles,home,W,6,0,False
Sudan,2018-10-13,African Cup of Nations qualification,Senegal,away,L,0,3,False
Tunisia,2018-10-13,African Cup of Nations qualification,Niger,home,W,1,0,False
Zimbabwe,2018-10-13,African Cup of Nations qualification,DR Congo,away,W,2,1,False
Russia,2018-10-14,UEFA Nations League,Turkey,home,W,2,0,False
Turkey,2018-10-14,UEFA Nations League,Russia,away,L,0,2,False
Bosnia and Herzegovina,2018-10-15,UEFA Nations League,Northern Ireland,home,W,2,0,False
England,2018-10-15,UEFA Nations League,Spain,away,W,3,2,False
Iceland,2018-10-15,UEFA Nations League,Switzerland,home,L,1,2,False
Northern Ireland,2018-10-15,UEFA Nations League,Bosnia and Herzegovina,away,L,0,2,False
Spain,2018-10-15,UEFA Nations League,England,home,L,2,3,False
Switzerland,2018-10-15,UEFA Nations League,Iceland,away,W,2,1,False
Algeria,2018-10-16,African Cup of Nations qualification,Benin,away,L,0,1,False
Argentina,2018-10-16,Superclásico de las Américas,Brazil,neutral,L,0,1,False
Benin,2018-10-16,African Cup of Nations qualification,Algeria,home,W,1,0,False
Brazil,2018-10-16,Superclásico de las Américas,Argentina,neutral,W,1,0,False
Bulgaria,2018-10-16,UEFA Nations League,Norway,away,L,0,1,False
Canada,2018-10-16,CONCACAF Nations League qualification,Dominica,home,W,5,0,False
Cape Verde,2018-10-16,African Cup of Nations qualification,Tanzania,away,L,0,2,False
Central African Republic,2018-10-16,African Cup of Nations qualification,Ivory Coast,home,D,0,0,False
Comoros,2018-10-16,African Cup of Nations qualification,Morocco,home,D,2,2,False
Czechia,2018-10-16,UEFA Nations League,Ukraine,away,L,0,1,False
DR Congo,2018-10-16,African Cup of Nations qualification,Zimbabwe,away,D,1,1,False
Dominica,2018-10-16,CONCACAF Nations League qualification,Canada,away,L,0,5,False
Egypt,2018-10-16,African Cup of Nations qualification,Eswatini,away,W,2,0,False
Eswatini,2018-10-16,African Cup of Nations qualification,Egypt,home,L,0,2,False
France,2018-10-16,UEFA Nations League,Germany,home,W,2,1,False
Germany,2018-10-16,UEFA Nations League,France,away,L,1,2,False
Haiti,2018-10-16,CONCACAF Nations League qualification,Saint Lucia,neutral,W,2,1,False
Ivory Coast,2018-10-16,African Cup of Nations qualification,Central African Republic,away,D,0,0,False
Japan,2018-10-16,Kirin Challenge Cup,Uruguay,home,W,4,3,False
Morocco,2018-10-16,African Cup of Nations qualification,Comoros,away,D,2,2,False
Niger,2018-10-16,African Cup of Nations qualification,Tunisia,home,L,1,2,False
Norway,2018-10-16,UEFA Nations League,Bulgaria,home,W,1,0,False
Saint Lucia,2018-10-16,CONCACAF Nations League qualification,Haiti,neutral,L,1,2,False
Senegal,2018-10-16,African Cup of Nations qualification,Sudan,away,W,1,0,False
Seychelles,2018-10-16,African Cup of Nations qualification,South Africa,home,D,0,0,False
South Africa,2018-10-16,African Cup of Nations qualification,Seychelles,away,D,0,0,False
Sudan,2018-10-16,African Cup of Nations qualification,Senegal,home,L,0,1,False
Tanzania,2018-10-16,African Cup of Nations qualification,Cape Verde,home,W,2,0,False
Tunisia,2018-10-16,African Cup of Nations qualification,Niger,away,W,2,1,False
Ukraine,2018-10-16,UEFA Nations League,Czechia,home,W,1,0,False
Uruguay,2018-10-16,Kirin Challenge Cup,Japan,away,L,3,4,False
Zimbabwe,2018-10-16,African Cup of Nations qualification,DR Congo,home,D,1,1,False
Austria,2018-11-15,UEFA Nations League,Bosnia and Herzegovina,home,D,0,0,False
Belgium,2018-11-15,UEFA Nations League,Iceland,home,W,2,0,False
Bosnia and Herzegovina,2018-11-15,UEFA Nations League,Austria,away,D,0,0,False
Croatia,2018-11-15,UEFA Nations League,Spain,home,W,3,2,False
Iceland,2018-11-15,UEFA Nations League,Belgium,away,L,0,2,False
Spain,2018-11-15,UEFA Nations League,Croatia,away,L,2,3,False
Cameroon,2018-11-16,African Cup of Nations qualification,Morocco,away,L,0,2,False
Egypt,2018-11-16,African Cup of Nations qualification,Tunisia,home,W,3,2,False
France,2018-11-16,UEFA Nations League,Netherlands,away,L,0,2,False
Japan,2018-11-16,Kirin Challenge Cup,Venezuela,home,D,1,1,False
Morocco,2018-11-16,African Cup of Nations qualification,Cameroon,home,W,2,0,False
Netherlands,2018-11-16,UEFA Nations League,France,home,W,2,0,False
Norway,2018-11-16,UEFA Nations League,Slovenia,away,D,1,1,False
Slovenia,2018-11-16,UEFA Nations League,Norway,home,D,1,1,False
Tunisia,2018-11-16,African Cup of Nations qualification,Egypt,away,L,2,3,False
Venezuela,2018-11-16,Kirin Challenge Cup,Japan,away,D,1,1,False
Albania,2018-11-17,UEFA Nations League,Scotland,home,L,0,4,False
Cape Verde,2018-11-17,African Cup of Nations qualification,Uganda,away,L,0,1,False
Equatorial Guinea,2018-11-17,African Cup of Nations qualification,Senegal,home,L,0,1,False
Haiti,2018-11-17,CONCACAF Nations League qualification,Nicaragua,away,W,2,0,False
Italy,2018-11-17,UEFA Nations League,Portugal,home,D,0,0,False
Nicaragua,2018-11-17,CONCACAF Nations League qualification,Haiti,home,L,0,2,False
Nigeria,2018-11-17,African Cup of Nations qualification,South Africa,away,D,1,1,False
Portugal,2018-11-17,UEFA Nations League,Italy,away,D,0,0,False
Scotland,2018-11-17,UEFA Nations League,Albania,away,W,4,0,False
Senegal,2018-11-17,African Cup of Nations qualification,Equatorial Guinea,away,W,1,0,False
South Africa,2018-11-17,African Cup of Nations qualification,Nigeria,home,D,1,1,False
Sweden,2018-11-17,UEFA Nations League,Turkey,away,W,1,0,False
Turkey,2018-11-17,UEFA Nations League,Sweden,home,L,0,1,False
Uganda,2018-11-17,African Cup of Nations qualification,Cape Verde,home,W,1,0,False
Algeria,2018-11-18,African Cup of Nations qualification,Togo,away,W,4,1,False
Austria,2018-11-18,UEFA Nations League,Northern Ireland,away,W,2,1,False
Belgium,2018-11-18,UEFA Nations League,Switzerland,away,L,2,5,False
Canada,2018-11-18,CONCACAF Nations League qualification,Saint Kitts and Nevis,away,W,1,0,False
Congo,2018-11-18,African Cup of Nations qualification,DR Congo,home,D,1,1,False
Croatia,2018-11-18,UEFA Nations League,England,away,L,1,2,False
DR Congo,2018-11-18,African Cup of Nations qualification,Congo,away,D,1,1,False
England,2018-11-18,UEFA Nations League,Croatia,home,W,2,1,False
Ethiopia,2018-11-18,African Cup of Nations qualification,Ghana,home,L,0,2,False
Ghana,2018-11-18,African Cup of Nations qualification,Ethiopia,away,W,2,0,False
Guinea,2018-11-18,African Cup of Nations qualification,Ivory Coast,home,D,1,1,False
Ivory Coast,2018-11-18,African Cup of Nations qualification,Guinea,away,D,1,1,False
Northern Ireland,2018-11-18,UEFA Nations League,Austria,home,L,1,2,False
Saint Kitts and Nevis,2018-11-18,CONCACAF Nations League qualification,Canada,home,L,0,1,False
Switzerland,2018-11-18,UEFA Nations League,Belgium,home,W,5,2,False
Togo,2018-11-18,African Cup of Nations qualification,Algeria,home,L,1,4,False
Curacao,2018-11-19,CONCACAF Nations League qualification,Guadeloupe,home,W,6,0,False
Cyprus,2018-11-19,UEFA Nations League,Norway,home,L,0,2,False
Czechia,2018-11-19,UEFA Nations League,Slovakia,home,W,1,0,False
Germany,2018-11-19,UEFA Nations League,Netherlands,home,D,2,2,False
Guadeloupe,2018-11-19,CONCACAF Nations League qualification,Curacao,away,L,0,6,False
Netherlands,2018-11-19,UEFA Nations League,Germany,away,D,2,2,False
Norway,2018-11-19,UEFA Nations League,Cyprus,away,W,2,0,False
Slovakia,2018-11-19,UEFA Nations League,Czechia,away,L,0,1,False
Israel,2018-11-20,UEFA Nations League,Scotland,away,L,2,3,False
Japan,2018-11-20,Kirin Challenge Cup,Kyrgyzstan,home,W,4,0,False
Kyrgyzstan,2018-11-20,Kirin Challenge Cup,Japan,away,L,0,4,False
Poland,2018-11-20,UEFA Nations League,Portugal,away,D,1,1,False
Portugal,2018-11-20,UEFA Nations League,Poland,home,D,1,1,False
Russia,2018-11-20,UEFA Nations League,Sweden,away,L,0,2,False
Scotland,2018-11-20,UEFA Nations League,Israel,home,W,3,2,False
Sweden,2018-11-20,UEFA Nations League,Russia,home,W,2,0,False
Australia,2019-01-06,AFC Asian Cup,Jordan,neutral,L,0,1,False
Jordan,2019-01-06,AFC Asian Cup,Australia,neutral,W,1,0,False
Iran,2019-01-07,AFC Asian Cup,Yemen,neutral,W,5,0,False
Philippines,2019-01-07,AFC Asian Cup,South Korea,neutral,L,0,1,False
South Korea,2019-01-07,AFC Asian Cup,Philippines,neutral,W,1,0,False
Yemen,2019-01-07,AFC Asian Cup,Iran,neutral,L,0,5,False
Iraq,2019-01-08,AFC Asian Cup,Vietnam,neutral,W,3,2,False
North Korea,2019-01-08,AFC Asian Cup,Saudi Arabia,neutral,L,0,4,False
Saudi Arabia,2019-01-08,AFC Asian Cup,North Korea,neutral,W,4,0,False
Vietnam,2019-01-08,AFC Asian Cup,Iraq,neutral,L,2,3,False
Japan,2019-01-09,AFC Asian Cup,Turkmenistan,neutral,W,3,2,False
Lebanon,2019-01-09,AFC Asian Cup,Qatar,neutral,L,0,2,False
Oman,2019-01-09,AFC Asian Cup,Uzbekistan,neutral,L,1,2,False
Qatar,2019-01-09,AFC Asian Cup,Lebanon,neutral,W,2,0,False
Turkmenistan,2019-01-09,AFC Asian Cup,Japan,neutral,L,2,3,False
Uzbekistan,2019-01-09,AFC Asian Cup,Oman,neutral,W,2,1,False
Jordan,2019-01-10,AFC Asian Cup,Syria,neutral,W,2,0,False
Syria,2019-01-10,AFC Asian Cup,Jordan,neutral,L,0,2,False
Australia,2019-01-11,AFC Asian Cup,Palestine,neutral,W,3,0,False
Kyrgyzstan,2019-01-11,AFC Asian Cup,South Korea,neutral,L,0,1,False
Palestine,2019-01-11,AFC Asian Cup,Australia,neutral,L,0,3,False
South Korea,2019-01-11,AFC Asian Cup,Kyrgyzstan,neutral,W,1,0,False
Iran,2019-01-12,AFC Asian Cup,Vietnam,neutral,W,2,0,False
Iraq,2019-01-12,AFC Asian Cup,Yemen,neutral,W,3,0,False
Lebanon,2019-01-12,AFC Asian Cup,Saudi Arabia,neutral,L,0,2,False
Saudi Arabia,2019-01-12,AFC Asian Cup,Lebanon,neutral,W,2,0,False
Vietnam,2019-01-12,AFC Asian Cup,Iran,neutral,L,0,2,False
