team,date,competition,opponent,venue,result,gf,ga,is_friendly
Ivory Coast,2024-01-06,Friendly,Sierra Leone,home,W,5,1,True
Mauritania,2024-01-06,Friendly,Tunisia,away,D,0,0,True
Sierra Leone,2024-01-06,Friendly,Ivory Coast,away,L,1,5,True
South Korea,2024-01-06,Friendly,Iraq,neutral,W,1,0,True
Tunisia,2024-01-06,Friendly,Mauritania,home,D,0,0,True
Egypt,2024-01-07,Friendly,Tanzania,home,W,2,0,True
Palestine,2024-01-07,Friendly,Uzbekistan,neutral,L,0,1,True
Tanzania,2024-01-07,Friendly,Egypt,away,L,0,2,True
Uzbekistan,2024-01-07,Friendly,Palestine,neutral,W,1,0,True
Ghana,2024-01-08,Friendly,Namibia,home,D,0,0,True
Namibia,2024-01-08,Friendly,Ghana,away,D,0,0,True
Niger,2024-01-08,Friendly,Senegal,away,L,0,1,True
Senegal,2024-01-08,Friendly,Niger,home,W,1,0,True
Algeria,2024-01-09,Friendly,Burundi,neutral,W,4,0,True
Burundi,2024-01-09,Friendly,Algeria,neutral,L,0,4,True
Indonesia,2024-01-09,Friendly,Iran,neutral,L,0,5,True
Iran,2024-01-09,Friendly,Indonesia,neutral,W,5,0,True
Japan,2024-01-09,Friendly,Jordan,neutral,W,6,1,True
Jordan,2024-01-09,Friendly,Japan,neutral,L,1,6,True
Palestine,2024-01-09,Friendly,Saudi Arabia,neutral,D,0,0,True
Saudi Arabia,2024-01-09,Friendly,Palestine,neutral,D,0,0,True
Burkina Faso,2024-01-10,Friendly,DR Congo,neutral,W,2,1,True
Cape Verde,2024-01-10,Friendly,Tunisia,away,L,0,2,True
DR Congo,2024-01-10,Friendly,Burkina Faso,neutral,L,1,2,True
Hong Kong,2024-01-10,Friendly,Saudi Arabia,neutral,L,0,2,True
Lesotho,2024-01-10,Friendly,South Africa,away,D,0,0,True
Saudi Arabia,2024-01-10,Friendly,Hong Kong,neutral,W,2,0,True
South Africa,2024-01-10,Friendly,Lesotho,home,D,0,0,True
Tunisia,2024-01-10,Friendly,Cape Verde,home,W,2,0,True
Morocco,2024-01-11,Friendly,Sierra Leone,neutral,W,3,1,True
Sierra Leone,2024-01-11,Friendly,Morocco,neutral,L,1,3,True
Estonia,2024-01-12,Friendly,Sweden,neutral,L,1,2,True
Sweden,2024-01-12,Friendly,Estonia,neutral,W,2,1,True
Slovenia,2024-01-20,Friendly,United States,away,W,1,0,True
United States,2024-01-20,Friendly,Slovenia,home,L,0,1,True
Ecuador,2024-03-21,Friendly,Guatemala,neutral,W,2,0,True
Guatemala,2024-03-21,Friendly,Ecuador,neutral,L,0,2,True
Portugal,2024-03-21,Friendly,Sweden,home,W,5,2,True
Sweden,2024-03-21,Friendly,Portugal,away,L,2,5,True
Angola,2024-03-22,Friendly,Morocco,away,L,0,1,True
Argentina,2024-03-22,Friendly,El Salvador,neutral,W,3,0,True
Colombia,2024-03-22,Friendly,Spain,neutral,W,1,0,True
Czechia,2024-03-22,Friendly,Norway,away,W,2,1,True
El Salvador,2024-03-22,Friendly,Argentina,neutral,L,0,3,True
Gabon,2024-03-22,Friendly,Senegal,neutral,L,0,3,True
Ghana,2024-03-22,Friendly,Nigeria,neutral,L,1,2,True
Hungary,2024-03-22,Friendly,Turkey,home,W,1,0,True
Morocco,2024-03-22,Friendly,Angola,home,W,1,0,True
Netherlands,2024-03-22,Friendly,Scotland,home,W,4,0,True
Nigeria,2024-03-22,Friendly,Ghana,neutral,W,2,1,True
Norway,2024-03-22,Friendly,Czechia,home,L,1,2,True
Scotland,2024-03-22,Friendly,Netherlands,away,L,0,4,True
Senegal,2024-03-22,Friendly,Gabon,neutral,W,3,0,True
Spain,2024-03-22,Friendly,Colombia,neutral,L,0,1,True
Turkey,2024-03-22,Friendly,Hungary,away,L,0,1,True
Austria,2024-03-23,Friendly,Slovakia,away,W,2,0,True
Belgium,2024-03-23,Friendly,Ireland,away,D,0,0,True
Benin,2024-03-23,Friendly,Ivory Coast,neutral,D,2,2,True
Brazil,2024-03-23,Friendly,England,away,W,1,0,True
Denmark,2024-03-23,Friendly,Switzerland,home,D,0,0,True
England,2024-03-23,Friendly,Brazil,home,L,0,1,True
France,2024-03-23,Friendly,Germany,home,L,0,2,True
Germany,2024-03-23,Friendly,France,away,W,2,0,True
Ireland,2024-03-23,Friendly,Belgium,home,D,0,0,True
Ivory Coast,2024-03-23,Friendly,Benin,neutral,D,2,2,True
Slovakia,2024-03-23,Friendly,Austria,home,L,0,2,True
Switzerland,2024-03-23,Friendly,Denmark,away,D,0,0,True
Ecuador,2024-03-24,Friendly,Italy,neutral,L,0,2,True
Italy,2024-03-24,Friendly,Ecuador,neutral,W,2,0,True
Albania,2024-03-25,Friendly,Sweden,away,L,0,1,True
Sweden,2024-03-25,Friendly,Albania,home,W,1,0,True
Argentina,2024-03-26,Friendly,Costa Rica,neutral,W,3,1,True
Armenia,2024-03-26,Friendly,Czechia,away,L,1,2,True
Austria,2024-03-26,Friendly,Turkey,home,W,6,1,True
Belgium,2024-03-26,Friendly,England,away,D,2,2,True
Benin,2024-03-26,Friendly,Senegal,neutral,L,0,1,True
Brazil,2024-03-26,Friendly,Spain,away,D,3,3,True
Chile,2024-03-26,Friendly,France,away,L,2,3,True
Colombia,2024-03-26,Friendly,Romania,neutral,W,3,2,True
Costa Rica,2024-03-26,Friendly,Argentina,neutral,L,1,3,True
Czechia,2024-03-26,Friendly,Armenia,home,W,2,1,True
England,2024-03-26,Friendly,Belgium,home,D,2,2,True
France,2024-03-26,Friendly,Chile,home,W,3,2,True
Germany,2024-03-26,Friendly,Netherlands,home,W,2,1,True
Ireland,2024-03-26,Friendly,Switzerland,home,L,0,1,True
Ivory Coast,2024-03-26,Friendly,Uruguay,neutral,W,2,1,True
Mauritania,2024-03-26,Friendly,Morocco,away,D,0,0,True
Morocco,2024-03-26,Friendly,Mauritania,home,D,0,0,True
Netherlands,2024-03-26,Friendly,Germany,away,L,1,2,True
Northern Ireland,2024-03-26,Friendly,Scotland,away,W,1,0,True
Norway,2024-03-26,Friendly,Slovakia,home,D,1,1,True
Portugal,2024-03-26,Friendly,Slovenia,away,L,0,2,True
Romania,2024-03-26,Friendly,Colombia,neutral,L,2,3,True
Scotland,2024-03-26,Friendly,Northern Ireland,home,L,0,1,True
Senegal,2024-03-26,Friendly,Benin,neutral,W,1,0,True
Slovakia,2024-03-26,Friendly,Norway,away,D,1,1,True
Slovenia,2024-03-26,Friendly,Portugal,home,W,2,0,True
Spain,2024-03-26,Friendly,Brazil,home,D,3,3,True
Switzerland,2024-03-26,Friendly,Ireland,away,W,1,0,True
Turkey,2024-03-26,Friendly,Austria,away,L,1,6,True
Uruguay,2024-03-26,Friendly,Ivory Coast,neutral,L,1,2,True
Basque Country,2024-05-21,Friendly,Uruguay,home,D,1,1,True
Galicia,2024-05-21,Friendly,Panama,home,L,0,2,True
Panama,2024-05-21,Friendly,Galicia,away,W,2,0,True
Uruguay,2024-05-21,Friendly,Basque Country,away,D,1,1,True
Bolivia,2024-05-31,Friendly,Mexico,neutral,L,0,1,True
Costa Rica,2024-05-31,Friendly,Uruguay,home,D,0,0,True
Mexico,2024-05-31,Friendly,Bolivia,neutral,W,1,0,True
Uruguay,2024-05-31,Friendly,Costa Rica,away,D,0,0,True
Bosnia and Herzegovina,2024-06-03,Friendly,England,away,L,0,3,True
Croatia,2024-06-03,Friendly,North Macedonia,home,W,3,0,True
England,2024-06-03,Friendly,Bosnia and Herzegovina,home,W,3,0,True
Germany,2024-06-03,Friendly,Ukraine,home,D,0,0,True
Gibraltar,2024-06-03,Friendly,Scotland,neutral,L,0,2,True
North Macedonia,2024-06-03,Friendly,Croatia,away,L,0,3,True
Scotland,2024-06-03,Friendly,Gibraltar,neutral,W,2,0,True
Ukraine,2024-06-03,Friendly,Germany,away,D,0,0,True
Austria,2024-06-04,Friendly,Serbia,home,W,2,1,True
Estonia,2024-06-04,Friendly,Switzerland,away,L,0,4,True
Finland,2024-06-04,Friendly,Portugal,away,L,2,4,True
Italy,2024-06-04,Friendly,Turkey,home,D,0,0,True
Portugal,2024-06-04,Friendly,Finland,home,W,4,2,True
Serbia,2024-06-04,Friendly,Austria,away,L,1,2,True
Switzerland,2024-06-04,Friendly,Estonia,home,W,4,0,True
Turkey,2024-06-04,Friendly,Italy,away,D,0,0,True
Andorra,2024-06-05,Friendly,Spain,away,L,0,5,True
Belgium,2024-06-05,Friendly,Montenegro,home,W,2,0,True
Denmark,2024-06-05,Friendly,Sweden,home,W,2,1,True
France,2024-06-05,Friendly,Luxembourg,home,W,3,0,True
Kosovo,2024-06-05,Friendly,Norway,away,L,0,3,True
Luxembourg,2024-06-05,Friendly,France,away,L,0,3,True
Mexico,2024-06-05,Friendly,Uruguay,neutral,L,0,4,True
Montenegro,2024-06-05,Friendly,Belgium,away,L,0,2,True
Norway,2024-06-05,Friendly,Kosovo,home,W,3,0,True
Spain,2024-06-05,Friendly,Andorra,home,W,5,0,True
Sweden,2024-06-05,Friendly,Denmark,away,L,1,2,True
Uruguay,2024-06-05,Friendly,Mexico,neutral,W,4,0,True
Canada,2024-06-06,Friendly,Netherlands,away,L,0,4,True
Netherlands,2024-06-06,Friendly,Canada,home,W,4,0,True
Czechia,2024-06-07,Friendly,Malta,neutral,W,7,1,True
England,2024-06-07,Friendly,Iceland,home,L,0,1,True
Finland,2024-06-07,Friendly,Scotland,away,D,2,2,True
Germany,2024-06-07,Friendly,Greece,home,W,2,1,True
Greece,2024-06-07,Friendly,Germany,away,L,1,2,True
Iceland,2024-06-07,Friendly,England,away,W,1,0,True
Malta,2024-06-07,Friendly,Czechia,neutral,L,1,7,True
Paraguay,2024-06-07,Friendly,Peru,away,D,0,0,True
Peru,2024-06-07,Friendly,Paraguay,home,D,0,0,True
Scotland,2024-06-07,Friendly,Finland,home,D,2,2,True
Austria,2024-06-08,Friendly,Switzerland,away,D,1,1,True
Belgium,2024-06-08,Friendly,Luxembourg,home,W,3,0,True
Brazil,2024-06-08,Friendly,Mexico,neutral,W,3,2,True
Colombia,2024-06-08,Friendly,United States,away,W,5,1,True
Croatia,2024-06-08,Friendly,Portugal,away,W,2,1,True
Denmark,2024-06-08,Friendly,Norway,home,W,3,1,True
Luxembourg,2024-06-08,Friendly,Belgium,away,L,0,3,True
Mexico,2024-06-08,Friendly,Brazil,neutral,L,2,3,True
Northern Ireland,2024-06-08,Friendly,Spain,away,L,1,5,True
Norway,2024-06-08,Friendly,Denmark,away,L,1,3,True
Portugal,2024-06-08,Friendly,Croatia,home,L,1,2,True
Serbia,2024-06-08,Friendly,Sweden,away,W,3,0,True
Spain,2024-06-08,Friendly,Northern Ireland,home,W,5,1,True
Sweden,2024-06-08,Friendly,Serbia,home,L,0,3,True
Switzerland,2024-06-08,Friendly,Austria,home,D,1,1,True
United States,2024-06-08,Friendly,Colombia,home,L,1,5,True
Argentina,2024-06-09,Friendly,Ecuador,neutral,W,1,0,True
Bosnia and Herzegovina,2024-06-09,Friendly,Italy,away,L,0,1,True
Canada,2024-06-09,Friendly,France,away,D,0,0,True
Ecuador,2024-06-09,Friendly,Argentina,neutral,L,0,1,True
France,2024-06-09,Friendly,Canada,home,D,0,0,True
Italy,2024-06-09,Friendly,Bosnia and Herzegovina,home,W,1,0,True
Czechia,2024-06-10,Friendly,North Macedonia,home,W,2,1,True
Iceland,2024-06-10,Friendly,Netherlands,away,L,0,4,True
Netherlands,2024-06-10,Friendly,Iceland,home,W,4,0,True
North Macedonia,2024-06-10,Friendly,Czechia,away,L,1,2,True
Poland,2024-06-10,Friendly,Turkey,home,W,2,1,True
Turkey,2024-06-10,Friendly,Poland,away,L,1,2,True
Chile,2024-06-11,Friendly,Paraguay,home,W,3,0,True
Ireland,2024-06-11,Friendly,Portugal,away,L,0,3,True
Paraguay,2024-06-11,Friendly,Chile,away,L,0,3,True
Portugal,2024-06-11,Friendly,Ireland,home,W,3,0,True
Bolivia,2024-06-12,Friendly,Ecuador,neutral,L,1,3,True
Brazil,2024-06-12,Friendly,United States,away,D,1,1,True
Ecuador,2024-06-12,Friendly,Bolivia,neutral,W,3,1,True
United States,2024-06-12,Friendly,Brazil,home,D,1,1,True
Argentina,2024-06-14,Friendly,Guatemala,neutral,W,4,1,True
Guatemala,2024-06-14,Friendly,Argentina,neutral,L,1,4,True
Bolivia,2024-06-15,Friendly,Colombia,neutral,L,0,3,True
Colombia,2024-06-15,Friendly,Bolivia,neutral,W,3,0,True
Ecuador,2024-06-16,Friendly,Honduras,neutral,W,2,1,True
Honduras,2024-06-16,Friendly,Ecuador,neutral,L,1,2,True
Panama,2024-06-16,Friendly,Paraguay,home,L,0,1,True
Paraguay,2024-06-16,Friendly,Panama,away,W,1,0,True
Jordan,2024-07-27,Friendly,North Korea,home,D,0,0,True
North Korea,2024-07-27,Friendly,Jordan,away,D,0,0,True
Jordan,2024-08-29,Friendly,North Korea,home,W,2,1,True
North Korea,2024-08-29,Friendly,Jordan,away,L,1,2,True
Guatemala,2024-09-01,Friendly,Uruguay,neutral,D,1,1,True
Uruguay,2024-09-01,Friendly,Guatemala,neutral,D,1,1,True
Canada,2024-09-07,Friendly,United States,away,W,2,1,True
Mexico,2024-09-07,Friendly,New Zealand,neutral,W,3,0,True
New Zealand,2024-09-07,Friendly,Mexico,neutral,L,0,3,True
United States,2024-09-07,Friendly,Canada,home,L,1,2,True
Canada,2024-09-10,Friendly,Mexico,neutral,D,0,0,True
Mexico,2024-09-10,Friendly,Canada,neutral,D,0,0,True
New Zealand,2024-09-10,Friendly,United States,away,D,1,1,True
United States,2024-09-10,Friendly,New Zealand,home,D,1,1,True
Panama,2024-10-12,Friendly,United States,away,L,0,2,True
United States,2024-10-12,Friendly,Panama,home,W,2,0,True
Malaysia,2024-10-14,Friendly,New Zealand,away,L,0,4,True
New Zealand,2024-10-14,Friendly,Malaysia,home,W,4,0,True
Canada,2024-10-15,Friendly,Panama,home,W,2,1,True
Mexico,2024-10-15,Friendly,United States,home,W,2,0,True
Panama,2024-10-15,Friendly,Canada,away,L,1,2,True
United States,2024-10-15,Friendly,Mexico,away,L,0,2,True
United States,2025-01-18,Friendly,Venezuela,home,W,3,1,True
Venezuela,2025-01-18,Friendly,United States,away,L,1,3,True
Costa Rica,2025-01-22,Friendly,United States,away,L,0,3,True
Jordan,2025-01-22,Friendly,Uzbekistan,neutral,D,0,0,True
United States,2025-01-22,Friendly,Costa Rica,home,W,3,0,True
Uzbekistan,2025-01-22,Friendly,Jordan,neutral,D,0,0,True
Chile,2025-02-08,Friendly,Panama,home,W,6,1,True
Panama,2025-02-08,Friendly,Chile,away,L,1,6,True
Jordan,2025-03-14,Friendly,North Korea,home,D,1,1,True
North Korea,2025-03-14,Friendly,Jordan,away,D,1,1,True
Curacao,2025-03-19,Friendly,Kazakhstan,neutral,L,0,2,True
Kazakhstan,2025-03-19,Friendly,Curacao,neutral,W,2,0,True
Northern Ireland,2025-03-21,Friendly,Switzerland,home,D,1,1,True
Switzerland,2025-03-21,Friendly,Northern Ireland,away,D,1,1,True
Azerbaijan,2025-03-22,Friendly,Haiti,home,L,0,3,True
Haiti,2025-03-22,Friendly,Azerbaijan,away,W,3,0,True
Luxembourg,2025-03-22,Friendly,Sweden,home,W,1,0,True
Sweden,2025-03-22,Friendly,Luxembourg,away,L,0,1,True
Luxembourg,2025-03-25,Friendly,Switzerland,away,L,1,3,True
Northern Ireland,2025-03-25,Friendly,Sweden,away,L,1,5,True
Sweden,2025-03-25,Friendly,Northern Ireland,home,W,5,1,True
Switzerland,2025-03-25,Friendly,Luxembourg,home,W,3,1,True
Cape Verde,2025-05-29,Friendly,Malaysia,away,D,1,1,True
Malaysia,2025-05-29,Friendly,Cape Verde,home,D,1,1,True
Jordan,2025-05-30,Friendly,Saudi Arabia,away,L,0,2,True
Saudi Arabia,2025-05-30,Friendly,Jordan,home,W,2,0,True
Burkina Faso,2025-06-02,Friendly,Tunisia,away,L,0,2,True
Tunisia,2025-06-02,Friendly,Burkina Faso,home,W,2,0,True
Cape Verde,2025-06-03,Friendly,Malaysia,away,W,3,0,True
Malaysia,2025-06-03,Friendly,Cape Verde,home,L,0,3,True
Algeria,2025-06-05,Friendly,Rwanda,home,W,2,0,True
DR Congo,2025-06-05,Friendly,Mali,neutral,W,1,0,True
Mali,2025-06-05,Friendly,DR Congo,neutral,L,0,1,True
Rwanda,2025-06-05,Friendly,Algeria,away,L,0,2,True
Hungary,2025-06-06,Friendly,Sweden,home,L,0,2,True
Iceland,2025-06-06,Friendly,Scotland,away,W,3,1,True
Ireland,2025-06-06,Friendly,Senegal,home,D,1,1,True
Morocco,2025-06-06,Friendly,Tunisia,home,W,2,0,True
Scotland,2025-06-06,Friendly,Iceland,home,L,1,3,True
Senegal,2025-06-06,Friendly,Ireland,away,D,1,1,True
South Africa,2025-06-06,Friendly,Tanzania,home,D,0,0,True
Sweden,2025-06-06,Friendly,Hungary,away,W,2,0,True
Tanzania,2025-06-06,Friendly,South Africa,away,D,0,0,True
Tunisia,2025-06-06,Friendly,Morocco,away,L,0,2,True
Mexico,2025-06-07,Friendly,Switzerland,neutral,L,2,4,True
Switzerland,2025-06-07,Friendly,Mexico,neutral,W,4,2,True
Turkey,2025-06-07,Friendly,United States,away,W,2,1,True
United States,2025-06-07,Friendly,Turkey,home,L,1,2,True
Cape Verde,2025-06-08,Friendly,Georgia,away,D,1,1,True
DR Congo,2025-06-08,Friendly,Madagascar,neutral,W,3,1,True
Georgia,2025-06-08,Friendly,Cape Verde,home,D,1,1,True
Madagascar,2025-06-08,Friendly,DR Congo,neutral,L,1,3,True
Algeria,2025-06-09,Friendly,Rwanda,home,W,2,0,True
Benin,2025-06-09,Friendly,Morocco,away,L,0,1,True
Liechtenstein,2025-06-09,Friendly,Scotland,home,L,0,4,True
Morocco,2025-06-09,Friendly,Benin,home,W,1,0,True
Rwanda,2025-06-09,Friendly,Algeria,away,L,0,2,True
Scotland,2025-06-09,Friendly,Liechtenstein,away,W,4,0,True
Algeria,2025-06-10,Friendly,Sweden,away,L,3,4,True
Bosnia and Herzegovina,2025-06-10,Friendly,Slovenia,away,L,1,2,True
England,2025-06-10,Friendly,Senegal,home,L,1,3,True
Mexico,2025-06-10,Friendly,Turkey,neutral,W,1,0,True
Mozambique,2025-06-10,Friendly,South Africa,away,L,0,2,True
Senegal,2025-06-10,Friendly,England,away,W,3,1,True
Slovenia,2025-06-10,Friendly,Bosnia and Herzegovina,home,W,2,1,True
South Africa,2025-06-10,Friendly,Mozambique,home,W,2,0,True
Sweden,2025-06-10,Friendly,Algeria,home,W,4,3,True
Switzerland,2025-06-10,Friendly,United States,away,W,4,0,True
Turkey,2025-06-10,Friendly,Mexico,neutral,L,0,1,True
United States,2025-06-10,Friendly,Switzerland,home,L,0,4,True
Lebanon,2025-08-24,Friendly,Qatar,away,D,2,2,True
Qatar,2025-08-24,Friendly,Lebanon,home,D,2,2,True
Bahrain,2025-09-03,Friendly,Qatar,away,D,2,2,True
Qatar,2025-09-03,Friendly,Bahrain,home,D,2,2,True
Finland,2025-09-04,Friendly,Norway,away,L,0,1,True
Jordan,2025-09-04,Friendly,Russia,away,D,0,0,True
North Macedonia,2025-09-04,Friendly,Saudi Arabia,neutral,L,1,2,True
Norway,2025-09-04,Friendly,Finland,home,W,1,0,True
Russia,2025-09-04,Friendly,Jordan,home,D,0,0,True
Saudi Arabia,2025-09-04,Friendly,North Macedonia,neutral,W,2,1,True
Canada,2025-09-05,Friendly,Romania,away,W,3,0,True
Romania,2025-09-05,Friendly,Canada,home,L,0,3,True
Japan,2025-09-06,Friendly,Mexico,neutral,D,0,0,True
Mexico,2025-09-06,Friendly,Japan,neutral,D,0,0,True
South Korea,2025-09-06,Friendly,United States,away,W,2,0,True
United States,2025-09-06,Friendly,South Korea,home,L,0,2,True
Qatar,2025-09-07,Friendly,Russia,home,L,1,4,True
Russia,2025-09-07,Friendly,Qatar,away,W,4,1,True
Czechia,2025-09-08,Friendly,Saudi Arabia,home,D,1,1,True
Saudi Arabia,2025-09-08,Friendly,Czechia,away,D,1,1,True
Canada,2025-09-09,Friendly,Wales,away,W,1,0,True
Dominican Republic,2025-09-09,Friendly,Jordan,away,L,0,3,True
Japan,2025-09-09,Friendly,United States,away,L,0,2,True
Jordan,2025-09-09,Friendly,Dominican Republic,home,W,3,0,True
Mexico,2025-09-09,Friendly,South Korea,neutral,D,2,2,True
South Korea,2025-09-09,Friendly,Mexico,neutral,D,2,2,True
United States,2025-09-09,Friendly,Japan,home,W,2,0,True
Wales,2025-09-09,Friendly,Canada,home,L,0,1,True
Bahrain,2025-10-09,Friendly,Morocco,away,L,0,1,True
England,2025-10-09,Friendly,Wales,home,W,3,0,True
Morocco,2025-10-09,Friendly,Bahrain,home,W,1,0,True
New Zealand,2025-10-09,Friendly,Poland,away,L,0,1,True
Poland,2025-10-09,Friendly,New Zealand,home,W,1,0,True
Wales,2025-10-09,Friendly,England,away,L,0,3,True
Argentina,2025-10-10,Friendly,Venezuela,neutral,W,1,0,True
Australia,2025-10-10,Friendly,Canada,away,W,1,0,True
Bolivia,2025-10-10,Friendly,Jordan,neutral,W,1,0,True
Brazil,2025-10-10,Friendly,South Korea,away,W,5,0,True
Canada,2025-10-10,Friendly,Australia,home,L,0,1,True
Dominican Republic,2025-10-10,Friendly,Uruguay,neutral,L,0,1,True
Ecuador,2025-10-10,Friendly,United States,away,D,1,1,True
Iran,2025-10-10,Friendly,Russia,away,L,1,2,True
Jordan,2025-10-10,Friendly,Bolivia,neutral,L,0,1,True
Kuwait,2025-10-10,Friendly,Uzbekistan,away,L,0,2,True
Russia,2025-10-10,Friendly,Iran,home,W,2,1,True
South Korea,2025-10-10,Friendly,Brazil,home,L,0,5,True
United States,2025-10-10,Friendly,Ecuador,home,D,1,1,True
Uruguay,2025-10-10,Friendly,Dominican Republic,neutral,W,1,0,True
Uzbekistan,2025-10-10,Friendly,Kuwait,home,W,2,0,True
Venezuela,2025-10-10,Friendly,Argentina,neutral,L,0,1,True
Colombia,2025-10-11,Friendly,Mexico,neutral,W,4,0,True
Mexico,2025-10-11,Friendly,Colombia,neutral,L,0,4,True
Bosnia and Herzegovina,2025-10-12,Friendly,Malta,away,W,4,1,True
Malta,2025-10-12,Friendly,Bosnia and Herzegovina,home,L,1,4,True
Uruguay,2025-10-13,Friendly,Uzbekistan,neutral,W,2,1,True
Uzbekistan,2025-10-13,Friendly,Uruguay,neutral,L,1,2,True
Albania,2025-10-14,Friendly,Jordan,home,W,4,2,True
Argentina,2025-10-14,Friendly,Puerto Rico,neutral,W,6,0,True
Australia,2025-10-14,Friendly,United States,away,L,1,2,True
Canada,2025-10-14,Friendly,Colombia,neutral,D,0,0,True
Colombia,2025-10-14,Friendly,Canada,neutral,D,0,0,True
Ecuador,2025-10-14,Friendly,Mexico,away,D,1,1,True
Iran,2025-10-14,Friendly,Tanzania,neutral,W,2,0,True
Jordan,2025-10-14,Friendly,Albania,away,L,2,4,True
Mexico,2025-10-14,Friendly,Ecuador,home,D,1,1,True
New Zealand,2025-10-14,Friendly,Norway,away,D,1,1,True
Norway,2025-10-14,Friendly,New Zealand,home,D,1,1,True
Paraguay,2025-10-14,Friendly,South Korea,away,L,0,2,True
Puerto Rico,2025-10-14,Friendly,Argentina,neutral,L,0,6,True
South Korea,2025-10-14,Friendly,Paraguay,home,W,2,0,True
Tanzania,2025-10-14,Friendly,Iran,neutral,L,0,2,True
United States,2025-10-14,Friendly,Australia,home,W,2,1,True
Mauritania,2025-11-12,Friendly,Tunisia,away,D,1,1,True
Tunisia,2025-11-12,Friendly,Mauritania,home,D,1,1,True
Algeria,2025-11-13,Friendly,Zimbabwe,neutral,W,3,1,True
Canada,2025-11-13,Friendly,Ecuador,home,D,0,0,True
Czechia,2025-11-13,Friendly,San Marino,home,W,1,0,True
Ecuador,2025-11-13,Friendly,Canada,away,D,0,0,True
San Marino,2025-11-13,Friendly,Czechia,away,L,0,1,True
Zimbabwe,2025-11-13,Friendly,Algeria,neutral,L,1,3,True
Angola,2025-11-14,Friendly,Argentina,home,L,0,2,True
Argentina,2025-11-14,Friendly,Angola,away,W,2,0,True
Australia,2025-11-14,Friendly,Venezuela,neutral,L,0,1,True
Bolivia,2025-11-14,Friendly,South Korea,away,L,0,2,True
Ivory Coast,2025-11-14,Friendly,Saudi Arabia,away,L,0,1,True
Jordan,2025-11-14,Friendly,Tunisia,away,L,2,3,True
Morocco,2025-11-14,Friendly,Mozambique,home,W,1,0,True
Mozambique,2025-11-14,Friendly,Morocco,away,L,0,1,True
Saudi Arabia,2025-11-14,Friendly,Ivory Coast,home,W,1,0,True
South Korea,2025-11-14,Friendly,Bolivia,home,W,2,0,True
Tunisia,2025-11-14,Friendly,Jordan,home,W,3,2,True
Venezuela,2025-11-14,Friendly,Australia,neutral,W,1,0,True
Brazil,2025-11-15,Friendly,Senegal,neutral,W,2,0,True
Colombia,2025-11-15,Friendly,New Zealand,neutral,W,2,1,True
Mexico,2025-11-15,Friendly,Uruguay,home,D,0,0,True
New Zealand,2025-11-15,Friendly,Colombia,neutral,L,1,2,True
Paraguay,2025-11-15,Friendly,United States,away,L,1,2,True
Senegal,2025-11-15,Friendly,Brazil,neutral,L,0,2,True
South Africa,2025-11-15,Friendly,Zambia,home,W,3,1,True
United States,2025-11-15,Friendly,Paraguay,home,W,2,1,True
Uruguay,2025-11-15,Friendly,Mexico,away,D,0,0,True
Zambia,2025-11-15,Friendly,South Africa,away,L,1,3,True
Qatar,2025-11-17,Friendly,Zimbabwe,home,L,1,2,True
Zimbabwe,2025-11-17,Friendly,Qatar,away,W,2,1,True
Algeria,2025-11-18,Friendly,Saudi Arabia,away,W,2,0,True
Australia,2025-11-18,Friendly,Colombia,neutral,L,0,3,True
Brazil,2025-11-18,Friendly,Tunisia,neutral,D,1,1,True
Canada,2025-11-18,Friendly,Venezuela,neutral,W,2,0,True
Colombia,2025-11-18,Friendly,Australia,neutral,W,3,0,True
Ecuador,2025-11-18,Friendly,New Zealand,neutral,W,2,0,True
Ghana,2025-11-18,Friendly,South Korea,away,L,0,1,True
Ivory Coast,2025-11-18,Friendly,Oman,away,W,2,0,True
Jordan,2025-11-18,Friendly,Mali,neutral,L,2,3,True
Kenya,2025-11-18,Friendly,Senegal,neutral,L,0,8,True
Mali,2025-11-18,Friendly,Jordan,neutral,W,3,2,True
Mexico,2025-11-18,Friendly,Paraguay,neutral,L,1,2,True
Morocco,2025-11-18,Friendly,Uganda,home,W,4,0,True
New Zealand,2025-11-18,Friendly,Ecuador,neutral,L,0,2,True
Oman,2025-11-18,Friendly,Ivory Coast,home,L,0,2,True
Paraguay,2025-11-18,Friendly,Mexico,neutral,W,2,1,True
Saudi Arabia,2025-11-18,Friendly,Algeria,home,L,0,2,True
Senegal,2025-11-18,Friendly,Kenya,neutral,W,8,0,True
South Korea,2025-11-18,Friendly,Ghana,home,W,1,0,True
Tunisia,2025-11-18,Friendly,Brazil,neutral,D,1,1,True
Uganda,2025-11-18,Friendly,Morocco,away,L,0,4,True
United States,2025-11-18,Friendly,Uruguay,home,W,5,1,True
Uruguay,2025-11-18,Friendly,United States,away,L,1,5,True
Venezuela,2025-11-18,Friendly,Canada,neutral,L,0,2,True
